Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,,,,,,,,,,,,,,,,,,,,
Approved,"These have already been added to the data series manually, and this is just the data series backend doing some housekeeping.",CLEAR Global - Languages,data series,CLEAR Global (previously Translators without Borders)|CLEAR Global (previously Translators without Borders),27,61,d18679f7-3aae-490e-81c4-a0d31466abe9|5f794f52-8e04-414d-8379-ac444c828f33|ee8fa3db-4b1c-4915-89b1-d859633a844d|e937c9c2-affd-48b2-8a0a-40349b5575ff|1996fdde-8189-4364-a57a-08f5b79fe242|898704eb-4465-4395-9a76-6b142d35177d|a9e5e748-c870-4efc-942f-32bbf8dff720|74f5d2a6-1e0a-4d55-8f76-deedd6d145e9|024c694e-088f-4a3c-8e1f-10fe135c2c87|48739309-96ad-455b-afb6-e152f9eabe39|f255b2a3-83e1-4082-8d8e-602e4d432207|19b891eb-cc7d-44bd-94ea-b20eacccfce3|20d6c3af-9298-4a60-aa4b-d9d73f1003dc|fcc8cef6-2362-48da-b8f8-f440ee359e1f|1b95520e-2b5f-4620-b1e2-03d959d51ff2|9aad61d0-b3b0-4759-a454-ee2461c29d02|8642fd0b-9d1b-4432-9127-1dee48db17eb|d4d15ef4-216e-47a5-a30e-98f18c4015ce|7eb0828f-16cb-4b4e-88dc-c8f276f608d0|d873f8c9-40a0-4a1c-9f49-4e539d1d69df|5d7e4ceb-c85b-4b83-b31d-5d7d89c92403|63ca2585-b69c-4b0d-8c9e-70cbaaffe0a6|e956d5b9-397e-4f11-bc93-215bd5e2339f|7db1ea72-3152-4d34-8fbe-a82842b8e33f|90d7aea5-1046-4c43-b73b-53aa5b317d39,Zimbabwe: Languages,South Africa: Languages,Uganda: Languages,United Republic of Tanzania: Languages,Eswatini: Languages,Sudan: Languages,Paraguay: Languages,Nigeria: Languages,Niger: Languages,Namibia: Languages,Mauritius: Languages,Morocco: Languages,Kyrgyzstan: Languages,Kenya: Languages,Iraq: Languages,Haiti: Languages,Gambia: Languages,Ghana: Languages,Cabo Verde: Languages,Congo: Languages,Botswana: Languages,Belarus: Languages,Burkina Faso: Languages,Burundi: Languages,Angola: Languages
Approved,,EM-DAT - Natural Hazard-related Events - Country Profiles,data series,Centre for Research on the Epidemiology of Disasters,133,333,a0598c88-72ac-40ca-a23b-26c48ba05994,"EM-DAT - Country Profiles, Ireland",,,,,,,,,,,,,,,,,,,,,,,,
Approved,,World Bank - Economic Social Environmental Health Education Development and Energy,data series,World Bank Group|World Bank Group|World Bank Group,211,33,1dae6f29-c7be-434b-be14-b00b460ec238|fadee1ca-46e3-4282-9ef7-fb8ee8018dd6,"New Zealand - Economic, Social, Environmental, Health, Education, Development and Energy","Puerto Rico (US) - Economic, Social, Environmental, Health, Education, Development and Energy",,,,,,,,,,,,,,,,,,,,,,,
Approved,,World Bank - Trade,data series,World Bank Group,216,34,3be4b894-ce48-4ce5-b410-964332081346,Puerto Rico (US) - Trade,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,World Bank - Climate Change,data series,World Bank Group,217,36,8112fac4-59a7-4c0c-8d5e-b7d443b72976,Puerto Rico (US) - Climate Change,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,World Bank - Gender,data series,World Bank Group,217,38,735498bf-beea-4513-ba3f-a14aa5d98bc9,Puerto Rico (US) - Gender,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,World Bank - Development,data series,World Bank Group,433,39,16e404be-0f27-4c7b-bf00-8fbb06325d8d|efa89c57-b8fe-402a-bc0e-d85832386931,Puerto Rico (US) - Urban Development,Puerto Rico (US) - Social Development,,,,,,,,,,,,,,,,,,,,,,,
Approved,,World Bank - Poverty,data series,World Bank Group,181,40,a26b893f-1bd1-445b-a8bd-7ea740961e97|2443d132-959f-493d-918c-37e7ebea6ff0|6b551cfb-e92c-4b4c-a7d5-8880cdfeea12|77e910a1-690f-490d-96b4-e9075727eb32|202d9dc3-02e9-4699-8dff-046c4220d3c0|8650aaf1-f3c4-4560-8dd6-916794a76365|42de651c-98c9-419d-857b-bbc5500b1e2a|ac7974bb-88ed-4329-8ab1-d1dc94754da2|73a91968-d4af-485c-a924-0f9219265785|007be2c8-2733-48b0-9f1f-a9013dca7655|8e498743-26f6-4d03-88ae-a9fdf3d0e7f8|28f51f1e-a123-4f21-9e82-1daaaac31687|e2e9f496-da58-45d4-91c7-7c5b3ea4ea73|41afee1d-a810-487a-ba2b-e5cabf5766d0|4377376d-a323-45e5-941f-5f549ea562d3|2e682c0d-de36-4fd3-9161-3d3d964ac999|7cc0cd87-4f0d-4862-8a2f-f0b54a2ab51b|b39e32d6-e0db-4c67-93e5-a4b94de683b5|c60e4750-29be-4dc3-b54e-276522e05e58|b6f30678-0116-4f62-995d-c0d5c16f4b24,Virgin Islands (U.S.) - Poverty,British Virgin Islands - Poverty,St. Vincent and the Grenadines - Poverty,Turks and Caicos Islands - Poverty,Sint Maarten (Dutch part) - Poverty,Singapore - Poverty,French Polynesia - Poverty,"Korea, Dem. People's Rep. - Poverty",New Zealand - Poverty,New Caledonia - Poverty,Northern Mariana Islands - Poverty,Monaco - Poverty,Kuwait - Poverty,Guam - Poverty,Cayman Islands - Poverty,Brunei Darussalam - Poverty,Bermuda - Poverty,Bahrain - Poverty,Andorra - Poverty,Aruba - Poverty,,,,,
Approved,,World Bank - Social Protection and Labor,data series,World Bank Group,215,41,6f35a5dc-660f-4b4e-bb49-0cf5002924a1,Puerto Rico (US) - Social Protection and Labor,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,World Bank - Infrastructure,data series,World Bank Group,217,42,6f3ee34c-adbc-4dfe-b7af-889e92c32f75,Puerto Rico (US) - Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,
