"UNICEF - Health, Nutrition and Sanitation Indicators",
UNICEF Data and Analytics (HQ),
75bbe7b1-559e-41a4-8b38-cb67b62862ee,Deaths aged 5 to 9
6665b064-6166-442f-b1f3-8a32ec26cfba,Deaths aged 5 to 24
3288bcc5-85cb-41d4-a299-b82547e429b4,Deaths aged 20 to 24
20907876-4e75-464d-b43f-81cfa01c8a8f,Deaths aged 15 to 24
d0b9757d-9945-48e7-b8bf-25ea5e486184,Deaths aged 15 to 19
0f51f88e-8b75-42c1-9a1b-ea802d4d2d8e,Deaths aged 10 to 19
d28b245c-1a70-456e-92a6-90d836c4c00f,Deaths aged 10 to 14
5df77ea0-54bf-4358-b677-9c4d1c643766,Stillbirth rate
d690961f-467b-4655-9dbd-525db1b08502,Mortality rate age 5-9
cace264f-a1fb-42a8-bfef-2c2d88ad8d52,Mortality rate age 5-24
9ed2d874-7b07-4640-9136-a7cb12455e49,Mortality rate age 20-24
15feee4d-3183-4814-a06e-8523ad72918c,Mortality rate age 15-24
45515cba-0f32-49f6-924a-251c6e282e6f,Mortality rate age 15-19
9f834b8e-d430-426c-9882-a6ab9496b5bf,Mortality rate age 10-19
fb0b12e3-cf47-4f91-b265-179869e512f4,Mortality rate age 10-14
22687669-3374-474e-a991-e93583b45258,Annual rate of reduction in stillbirth rate (over previous 20 years)
1ce1a08c-a21f-41a6-991b-1b18dd5c8bdb,Annual Rate of Reduction in Mortality Rate Age 10-19
