"UNICEF - Health, Nutrition and Sanitation Indicators",
UNICEF Data and Analytics (HQ),
296202eb-ab22-441c-b9b7-228e87365315,VMI (vast majority index of income inequality)
78cfc427-5bfa-495b-9101-6c86696e80c4,Palma Index of income inequality
6e7f1d35-617d-4539-9468-d868369e6a3f,Mothers with newborns receiving cash benefit (%)
510f1f4c-af72-4c0e-b22a-ef9fde651e1b,Share of household income (%)
5705a0c2-1c3e-4722-8ee2-4953a45f56f8,Gini Coefficient
8b17836f-6b3c-4e9b-8c39-a7740b990304,GDP per capita (current US$)
072afa02-29c7-47d0-a869-4f6efa7c944b,ODA outflow (USD)
4ef378ee-759a-421b-a5e6-66c4e7b18ccf,ODA outflow (%GNI)
248063cb-0575-486d-ae53-ca33d9dfd19b,ODA inflow (USD)
61bebcbd-f886-4826-aed6-29bc622f3ef9,ODA inflow (%GNI)
7dffebc7-5b3f-465f-a59b-caee3aee6555,Insufficient physical activity among school going adolescents
b95e675e-9f8a-495f-a89c-8584406ccac6,Percentage of newborns protected at birth against tetanus with tetanus toxoid
ede330f1-ee7d-4f97-a415-9c7361199363,Income distribution
ffbffac3-be06-4bc5-bfae-7021359219f0,Children with five or more (cumulative) severe deprivations
a2180802-5c7b-42e9-b830-1d4903bcc9a9,Children with four or more (cumulative) severe deprivations
ac6238fc-1f9f-40aa-9e99-f79d36c82296,Children with three or more (cumulative) severe deprivations
e6f4dd9b-99d0-48a1-85ee-2fefe58c8cb8,Children with two or more (cumulative) severe deprivations
61c098f7-4fb5-44fc-a1de-d4bd031003de,Children with one or more (cumulative) severe deprivations
6002cf40-26ae-4062-9614-6862cccc98cd,Children experiencing five severe deprivations
8c04560d-ff83-4607-bc90-a94884670698,Children experiencing four  severe deprivations
2a447787-0dff-4807-8c34-9940119573ef,Children experiencing three severe deprivations
99544c37-96cf-4d00-b459-15a7696979c2,Children experiencing two severe deprivations
1d974077-da4c-4dcb-a05b-73b94fd0dc5d,Children experiencing one severe deprivation
83a412b2-d1f8-45ed-9056-e5d3506771ba,Children with five or more (cumulative)  deprivations
4a4564e1-44f9-4bea-a0a4-94793344649f,Children with four or more (cumulative)  deprivations
7467f1d8-acec-4be3-af80-5585fd078f29,Children with three or more (cumulative)  moderate deprivations
808eea76-fbd7-4fcf-bce3-453ad78cfe90,Children experiencing five moderate deprivations
52ebd6f8-e7f3-48ed-a5a7-bf8185fc3822,Average number of severe deprivations per child
