UNICEF - Education Indicators,
UNICEF Data and Analytics (HQ),
272851d7-a954-4d40-8eeb-2bb037702cf8,Out-of-school rate for adolescents of lower secondary school age (administrative data)
a97e74f3-0027-4b37-9d27-1aac70fbcc84,Out-of-school rate for children of primary school age (administrative data)
a1cea98b-4dce-435a-a877-b2295d78e970,Out-of-school rate for children one year younger than official entry age (administrative data)
dba84b67-a41c-4d15-b105-f7882573176b,Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading
de6d7699-5a56-40f5-abc4-b5b4a9450e03,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading
033e2a5b-95aa-4225-96a9-7566fa60238c,Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading
9cad3128-fd83-47d1-a1df-6f2afe6ea89f,Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics
af4a0e27-5fde-4fba-aff5-ca5e8ceb75dc,Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics
f6d938f9-3334-4a42-a1d5-1fae54352581,Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics
