WHO - - Health Indicators,
World Health Organization,
312a56de-be0d-4fe5-8f4f-d3bf12bd7edb,Venezuela (Bolivarian Republic of) - Health Indicators
9f2cb81f-ed1e-40c2-9171-4c69f633ccdd,Uzbekistan - Health Indicators
cde20733-8f74-438d-8726-73ff1643ea11,Uganda - Health Indicators
9561c14a-b644-466f-a32b-9befc9a8c433,United Republic of Tanzania - Health Indicators
1b60f2db-9324-4ce4-8c52-33e62ae770e5,Türkiye - Health Indicators
231c32f8-bd8c-4d5a-a732-52e86e74d509,Timor-Leste - Health Indicators
ef491fe0-9075-44b2-bc87-6f9d3699675a,Turkmenistan - Health Indicators
862fd586-119e-4a30-830e-2f0bf9140138,Tajikistan - Health Indicators
26a5f322-1b91-4a88-9e35-31ae5c2d2992,Thailand - Health Indicators
67a5a323-5e16-4eb7-92a2-aaa9f98f36b4,Togo - Health Indicators
64b1e62e-a877-4149-a172-35692500ef14,Chad - Health Indicators
b537d3fd-931d-4b7c-84c2-f2104f1c94d3,Syrian Arab Republic - Health Indicators
f408c932-9c27-429a-be14-cba1529771e5,Eswatini - Health Indicators
86ed7f7e-9cf3-48d6-9fd9-3ade8687941f,Suriname - Health Indicators
3a6d788f-63fc-4c71-b6cc-fc9abf462a24,Sao Tome and Principe - Health Indicators
a6cf2ed8-832d-4c76-8163-b5aa07fb3e3f,South Sudan - Health Indicators
2d928c07-4fff-4186-ab05-05f9475c5e15,Somalia - Health Indicators
e3a532ab-bd7c-45c5-85a4-4303a448e4ce,El Salvador - Health Indicators
f32e4892-f83e-4381-849c-d3b5b7f4e1bc,Sierra Leone - Health Indicators
8aa64245-54c8-4177-bf4d-75a98bd315e9,Solomon Islands - Health Indicators
9f6bcf4a-5184-4179-b9fd-a0e215667e17,Senegal - Health Indicators
60a6b8a4-a503-47a8-b7d5-45373fb9767e,Sudan - Health Indicators
15afd5ff-177e-4b83-9050-674631f121ea,Saudi Arabia - Health Indicators
208e5298-a9c5-4cb1-8ba9-6b0ffa802ba4,Rwanda - Health Indicators
998040f0-0576-4f87-9cd6-fce5a3e9efe5,Paraguay - Health Indicators
2f37631a-87fc-4dcb-9191-e44d785beea3,Democratic People's Republic of Korea - Health Indicators
60156c9b-10c6-4fff-bfd9-752c13fd6117,Papua New Guinea - Health Indicators
cdcb834a-4888-4b6e-a03c-d2ccf819d103,Philippines - Health Indicators
23aa5b69-0418-4528-8c28-d39b5d62b9ee,Peru - Health Indicators
a1a72dd4-0fad-418c-b998-b21d417a962b,Panama - Health Indicators
b040ad0e-3349-48b9-83ba-6dba13f8268c,Pakistan - Health Indicators
ce93d7f4-58ff-4ad8-b164-8e4e7e3f4bd4,Oman - Health Indicators
47158fc7-e68e-4c3b-89d0-f7d62dbcc71c,Nepal - Health Indicators
7946c12c-9e12-453e-9d2d-eb1cb467da75,Nicaragua - Health Indicators
aca52b0f-112d-47cb-9dba-b0365fc212c4,Nigeria - Health Indicators
23e37e80-fc66-4964-b619-1cec810fd5ed,Niger - Health Indicators
126fdb1d-9b43-4c53-a653-0e6f4f84f8ee,Namibia - Health Indicators
2416d99b-5054-4675-8c4b-82d79f0a4772,Malaysia - Health Indicators
429f8cb3-3bc2-45c6-845e-19810d2d92ee,Malawi - Health Indicators
03ac94aa-fd4c-498a-bcec-9440a0dce460,Mauritius - Health Indicators
0a056129-335a-4740-aaa8-79da4c769ac7,Mauritania - Health Indicators
023f40d9-fc72-4ae0-ac9b-deb71304be28,Mozambique - Health Indicators
70d135eb-2898-462b-8eb3-fb96176e24cc,Myanmar - Health Indicators
b4b957c5-46d2-47dd-911b-00f9d003e94c,Mali - Health Indicators
a07aef19-6e2a-4ded-8dc4-60716eed243e,Mexico - Health Indicators
ffa2ee4a-0569-4d34-957b-e0141b3029e3,Madagascar - Health Indicators
8c03c3fb-f448-4bca-8b5c-51ea8510ee49,Morocco - Health Indicators
99145221-8093-4471-8f2e-aaa2fd6dddb7,Sri Lanka - Health Indicators
72b30387-411e-4f48-aad1-6ce7a00eb108,Liberia - Health Indicators
813fe108-98a0-44dd-89eb-8a5bc9f5ec97,Lao People's Democratic Republic - Health Indicators
99bdba5d-f2bf-409b-868e-6c4cb3704a93,Republic of Korea - Health Indicators
45a27861-bbe3-4820-a691-deceb3fb168f,Cambodia - Health Indicators
645fe24f-18de-477d-97ad-15c96f62ad95,Kyrgyzstan - Health Indicators
9757a4db-0a46-436a-af04-57498aee44ce,Kenya - Health Indicators
0fae044e-93f5-4920-b3ab-80ef30ed1f77,Kazakhstan - Health Indicators
79bdd0fc-e1df-47f7-8eee-1ebf07d73db9,Iraq - Health Indicators
b6fd035a-5fbc-4d21-9a5b-38edf1015adf,Iran (Islamic Republic of) - Health Indicators
a3eb88f1-7539-4901-9914-593febf3207f,India - Health Indicators
32d9e115-8787-4105-8740-9b1ac1686919,Indonesia - Health Indicators
0cd556a3-9d8c-4b7a-a872-e04406e62fbc,Haiti - Health Indicators
5838186d-c3bd-4cfa-90bb-d347eaf7b71b,Honduras - Health Indicators
ba00ca09-7136-4c1d-af08-fa2bdc0844c0,Guyana - Health Indicators
682ab835-f576-4cad-846a-c10de6d8f20a,Guatemala - Health Indicators
7872d815-c693-41d3-80e8-175e15f1acd6,Equatorial Guinea - Health Indicators
a93f3d8c-337b-40a5-82f0-2e46b33a6f67,Guinea-Bissau - Health Indicators
2c430be3-235e-467a-a68a-4c8197648e01,Gambia - Health Indicators
c3437f85-ce91-464f-8020-ffa46e7d1386,Guinea - Health Indicators
c0c14a82-8367-4f76-8608-dda4b568288b,Ghana - Health Indicators
6c6b4d2f-8b35-4f49-b640-efcd3aea73b9,Georgia - Health Indicators
8c407cec-a993-4928-bdbe-33cfaaee69c3,Gabon - Health Indicators
69163bd8-5d7d-465e-b12c-ffd89f7b9bf8,Ethiopia - Health Indicators
b9547250-b4ec-4672-be38-d5f0d61b3a4d,Eritrea - Health Indicators
fea0c777-2e1f-4b83-844a-8f73f3fcbbca,Egypt - Health Indicators
682b44d7-3b0d-434e-99f6-82174763f3f7,Ecuador - Health Indicators
9ca6f279-5c1a-443d-b36e-0a5ca1615ab9,Algeria - Health Indicators
12a06260-8124-499a-9a72-278ef4ed1fb5,Dominican Republic - Health Indicators
6b794c65-6965-462b-99d1-62febe57ac3a,Djibouti - Health Indicators
44a370bf-59b8-44c1-bd15-cf6e4d33fcc0,Costa Rica - Health Indicators
fff493b9-c526-4ef5-ab95-d6137cdb77df,Cabo Verde - Health Indicators
2b94cae1-eda8-45ff-9ddb-499539562eb5,Comoros - Health Indicators
38522965-b358-4e27-bb09-60f6b5dd28bb,Colombia - Health Indicators
493c42c1-3c4f-4546-90f9-9bc9d189b200,Congo - Health Indicators
989565d3-35f3-4571-953b-2a0c1dc346fe,Democratic Republic of the Congo - Health Indicators
8103cce1-96cd-43dc-b051-e7a4ab731673,Cameroon - Health Indicators
26b07299-2d4a-49b6-ae4a-4acb3aea7338,Côte d'Ivoire - Health Indicators
d07a7ce7-2717-4bef-a4fb-924112259a7b,China - Health Indicators
8e248d04-1d9c-4888-9edf-02ea2ca41fc5,Central African Republic - Health Indicators
82eb33ac-205b-4a59-9b63-8f4954c2bb35,Botswana - Health Indicators
41901034-088c-46da-934a-71249a663517,Bhutan - Health Indicators
265c93b9-22e0-4590-ab5f-f312fefed1b9,Brazil - Health Indicators
5ebcc0d3-624b-40c7-8e6d-7c523f23b312,Bolivia (Plurinational State of) - Health Indicators
fca40aff-89ad-4aef-a3cd-0e94425939aa,Belize - Health Indicators
0836233d-2463-4611-9547-984cad790817,Bangladesh - Health Indicators
77d3be5a-b815-48e7-9ff2-57a05d4ce5f9,Burkina Faso - Health Indicators
72681859-acac-4991-a0cc-6a04aad2877a,Benin - Health Indicators
04e931c2-d2f0-492f-a5c3-55b3c503dfc4,Burundi - Health Indicators
69dfffe4-e754-4b92-81be-ea65c5cf23bd,Azerbaijan - Health Indicators
49720691-f7f6-49d7-ba5f-c68b02ffafdf,Armenia - Health Indicators
98687a0a-dc8b-49bf-9c07-a8f83508c482,Argentina - Health Indicators
cb51d1ab-027d-4488-8ed0-65f9341bf852,United Arab Emirates - Health Indicators
b4c37112-468d-41ae-9f5c-53d346ac76e7,Angola - Health Indicators
ed7c9642-c572-401c-a5ba-009812612540,Afghanistan - Health Indicators
