Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,UN Peace and Security Data Hub - Peace and Security Data,data series,United Nations Peace and Security Data Hub,1,none|296,877d6c83-070a-4a83-8253-71f74a2f9f6f|8d760350-2ccd-4e9f-b4b9-616d8b7dbc8d|c58f522f-5ade-4d8a-b9cd-f4ece8517ee5|11d7af93-7bcd-4259-895e-838049011def|2d11e352-b4ca-4606-9e2d-4bbd89291ce3|b7020537-058c-4971-af31-5bcbdf25bc9f|29db8e66-f111-47c7-9ef2-3501aef906a4|9c04aa68-b19c-440c-a8e7-15d482e1b2ce|d4d8c63f-fe28-44f3-9112-fa7cb0a258f2|bacdc2f2-9c4b-49d9-a466-163fbc749ca9|b63d765c-f0b9-47d6-911b-62c15a15d86c|f6b91534-494c-45b1-97a4-cd01bafb4e72,Peace and Security Pillar: Historical Uniformed Personnel Contribution prior to 2010,Peace and Security Pillar: Contributions to the Trust Fund for the Multinational Security Support (MSS) mission for Haiti authorised under SCR 2699 (2023),Peace and Security Pillar: Haiti Security and Crime Statistics Dataset (2018–2024),Peace and Security Pillar: Peacekeeping Ministerial Pledge Implementation Tracker,"Peace and Security Pillar: Security Council Data - Formal Meetings of the Security Council on Climate, Peace and Security",Peace and Security Pillar: 16-day advance booking policy compliance of special political missions,Peace and Security Pillar: Security Council Data - Elected Member Security Council Presidency,Peace and Security Pillar: Reoccupied UNDOF positions and United Nations Truce Supervision Organization (UNTSO) military observers in Observer Group Golan positions,Peace and Security Pillar: Patrols by the United Nations Disengagement Observer Force (UNDOF),"Peace and Security Pillar: Barrels restored, repainted, and refurbished by the United Nations Disengagement Observer Force (UNDOF)",Peace and Security Pillar: Approved number of personnel in peacekeeping missions,Peace and Security Pillar: Actual number of personnel in peacekeeping missions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,IDMC - Internal Displacement Updates,data series,Internal Displacement Monitoring Centre (IDMC),1,none|290,27e543c0-ef34-45f6-81e1-fbbb25e9f59f,Venezuela (Bolivarian Republic of) - Internal Displacements Updates (IDU) (event data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,IDMC - Internal Displacement Updates,data series,Internal Displacement Monitoring Centre (IDMC),1,none|290,9efbf0c2-4d12-4a6b-b71d-76ca0cee3347,Réunion - Internal Displacements Updates (IDU) (event data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,IDMC - Internal Displacement Updates,data series,Internal Displacement Monitoring Centre (IDMC),1,none|290,b899b084-64b5-4c2c-af42-acbeaa075698|c88b89ee-884f-4b5e-a1c2-36354a760d2c,Paraguay - Internal Displacements Updates (IDU) (event data),Bulgaria - Internal Displacements Updates (IDU) (event data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,IDMC - Internal Displacement Updates,data series,Internal Displacement Monitoring Centre (IDMC),1,none|290,15d62a31-5701-4092-9c5a-82772ae30f0f|a6879fc2-3a1f-4e78-a3f3-022aae1a51c6|3eb4dec2-0a81-44c2-9ab6-b6645a06cd1d,Nepal - Internal Displacements Updates (IDU) (event data),Guatemala - Internal Displacements Updates (IDU) (event data),China - Internal Displacements Updates (IDU) (event data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,IFRC - Appeals,data series,International Federation of Red Cross and Red Crescent Societies (IFRC),6,none|273,b9824c9f-aff5-449f-a00c-2defabed1523|7a7b3b3a-1920-4677-a72a-dbd1ec93b4e0|8671bc10-5119-4cae-8423-576e91d6e6ad,Portugal - IFRC Appeals,Grenada - IFRC Appeals,Kiribati - IFRC Appeals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,HOTOSM - Buildings,data series,Humanitarian OpenStreetMap Team (HOT),378,none|14,8692e26c-c4f1-4723-8c98-57ccd6ecee0e|0453224c-92d5-4eed-a93c-5a465ef85883|ab1643d7-dd99-4bd9-b77f-5b506af2db96|46f0c44a-ffd8-4bd7-8e97-5d6eb8212812|27612d6f-dc5d-422e-adfe-f6359d94d130|da4a6386-aea8-46c9-900c-51e197c9c6e6|64b7d663-9fa9-4c10-8fb8-c6c674152fe4|c797635a-6537-4c6d-a460-3fd82c0554a4|e70e3114-fdf7-4f36-9292-b3919ddd3072|18d37306-a142-4a88-9aae-130c66624360|57a79fe1-090b-4fdd-895b-bba1fa184450|1adb9497-3564-4b7e-8c76-54847a1165f3,Poland Buildings (OpenStreetMap Export),Spain Buildings (OpenStreetMap Export),Netherlands Buildings (OpenStreetMap Export),Norway Buildings (OpenStreetMap Export),China Buildings (OpenStreetMap Export),Brazil Buildings (OpenStreetMap Export),"Goma , Republic of the Congo Buildings (OpenStreetMap Export)",United Kingdom Buildings (OpenStreetMap Export),Japan Buildings (OpenStreetMap Export),India Buildings (OpenStreetMap Export),Indonesia Buildings (OpenStreetMap Export),France Buildings (OpenStreetMap Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,HOTOSM - Roads,data series,Humanitarian OpenStreetMap Team (HOT),384,none|24,d67bcbd6-6554-44b1-b34c-96d909fab5ac|94b91135-a33c-46ab-bed5-a3cd77d7861e|200d9b63-dd76-4ccf-82a3-2346e2513265|d8572c6b-5fd2-463a-a3ce-3f1c1e18a59f|2a3a61d7-0675-4a78-ad23-d9ab0c7a8ce1|52836cb9-883a-49c8-b171-845a1e3d2a07|09f59fbc-96dd-405e-be2c-e8cdcd38b516|8d870c55-c473-45c8-a88c-1a8b12fa4f6f|ad456cbf-fb5a-48f6-950e-d7385f385f36|b8bd3082-3a2b-477e-9fef-a7cf690734e3|f9f517e1-9683-4359-a8be-b903e078a897|c93aa88c-4d97-46f8-9691-1042b814fc02|a662d318-afcb-40bb-9dec-765ea09626d8,Poland Roads (OpenStreetMap Export),Spain Roads (OpenStreetMap Export),Netherlands Roads (OpenStreetMap Export),Norway Roads (OpenStreetMap Export),China Roads (OpenStreetMap Export),Brazil Roads (OpenStreetMap Export),"Goma , Republic of the Congo Roads (OpenStreetMap Export)",Italy Roads (OpenStreetMap Export),United Kingdom Roads (OpenStreetMap Export),Japan Roads (OpenStreetMap Export),India Roads (OpenStreetMap Export),Indonesia Roads (OpenStreetMap Export),France Roads (OpenStreetMap Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,HOTOSM - Railways,data series,Humanitarian OpenStreetMap Team (HOT),384,none|15,348e64ae-8003-4a1b-9ed7-92cdf36c9f49|088fd64d-a394-42f7-9cc5-f6787c044669|c21c4db2-262f-4dff-ad3a-628c6ab557af|33b3153d-8f81-4e68-b3ac-2840c38f0e59|bedfa7e1-411e-488e-91cc-ddef6627823b|1319b572-8ae0-433d-8863-b125bff8150c|971a95fd-c4cf-4726-b610-31eebe27b5de|4235ac74-da99-4eb4-983c-b88b717ff756|ddf0e777-c020-4a1d-8aa9-b275315904e2|c5b559a7-08fc-40db-8e6c-c2961af891a2|9996b4c3-022e-43c9-9144-45c0c722fcc9|29cbf142-aaaa-40a7-b132-600e6bf8ada3|af161ead-875a-4283-9ea1-fb5ecf7a9326,Poland Railways (OpenStreetMap Export),Spain Railways (OpenStreetMap Export),Netherlands Railways (OpenStreetMap Export),Norway Railways (OpenStreetMap Export),China Railways (OpenStreetMap Export),Brazil Railways (OpenStreetMap Export),"Goma , Republic of the Congo Railways (OpenStreetMap Export)",Italy Railways (OpenStreetMap Export),United Kingdom Railways (OpenStreetMap Export),Japan Railways (OpenStreetMap Export),India Railways (OpenStreetMap Export),Indonesia Railways (OpenStreetMap Export),France Railways (OpenStreetMap Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,HOTOSM - Waterways,data series,Humanitarian OpenStreetMap Team (HOT),385,none|23,20e24e7d-8f9e-4deb-a5f7-665f0c1af376|bdfe777e-aacd-482a-a16b-d0cead188a49|d92362ee-1c93-4e21-815e-5c520d28f95b|f51572fe-7908-478f-a87d-ae852cb7e76b|2f74a797-f163-4371-be60-2b508900b509|540c6234-2fa7-4b16-a0d3-d8f3128855c4|eb0eb2a6-b8b6-48c3-9b53-167a52258843|ee85f3d2-d6ea-4cda-b869-9b5d5b3723b2|774a7473-a3cf-4673-ae8c-cfc00f044cfb|d0c9d021-fb8e-49c9-a941-b7c48f56c3fb|09c9d25f-679b-4069-abbf-a7c3eb692c5d|f9f6a6ce-3401-461c-bdef-b32fe0f23311|fa64a1b2-1c06-416b-90c5-6453d01dee97,Poland Waterways (OpenStreetMap Export),Spain Waterways (OpenStreetMap Export),Netherlands Waterways (OpenStreetMap Export),Norway Waterways (OpenStreetMap Export),China Waterways (OpenStreetMap Export),Brazil Waterways (OpenStreetMap Export),"Goma , Republic of the Congo Waterways (OpenStreetMap Export)",Italy Waterways (OpenStreetMap Export),United Kingdom Waterways (OpenStreetMap Export),Japan Waterways (OpenStreetMap Export),India Waterways (OpenStreetMap Export),Indonesia Waterways (OpenStreetMap Export),France Waterways (OpenStreetMap Export),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
