WHO - Historical Health Indicators,
World Health Organization,
ebcd1716-a8f1-4c5e-91aa-65037b71328f,British Virgin Islands - Historical Health Indicators
f63ba08b-025a-4e5a-98b8-3c1be1bca06f,Venezuela (Bolivarian Republic of) - Historical Health Indicators
804bc186-d33a-4c78-be0e-efdf13233952,Saint Vincent and the Grenadines - Historical Health Indicators
924d952f-d914-4a42-8793-f9e3010659cc,Uzbekistan - Historical Health Indicators
31ad9606-fed5-404c-9105-36c8df2c5fc2,United States of America - Historical Health Indicators
3f661bc0-d57f-416f-8dfe-7b823894befb,Uruguay - Historical Health Indicators
a0f334b4-ef29-4a0e-a588-7d38df5fca2e,Ukraine - Historical Health Indicators
acc84ddf-9c8e-4520-9162-c683d59c5fa1,Uganda - Historical Health Indicators
a04a1bb2-6746-4a34-93e6-4ed783fe2d39,United Republic of Tanzania - Historical Health Indicators
6b58e957-77ad-43fc-9582-8d71cddc1324,Tuvalu - Historical Health Indicators
2bab0619-df26-4bf3-bcfd-014dc04bfc77,Türkiye - Historical Health Indicators
ef28c143-9d7a-4321-bd3d-d8b2257017d3,Tunisia - Historical Health Indicators
12f1a780-d982-46c2-8afa-39ade16a87e1,Trinidad and Tobago - Historical Health Indicators
042cdabf-4a54-44fe-b2c7-7cb7f6689ae4,Tonga - Historical Health Indicators
05e4b8bd-9f12-4a26-97bd-ab7dd59d95d6,Timor-Leste - Historical Health Indicators
5850da31-31f6-439e-8561-96e1ae0ad336,Turkmenistan - Historical Health Indicators
a902099e-6b56-4051-ac19-46236e27e453,Tokelau - Historical Health Indicators
f5a959f0-33e1-4f86-b301-49bf2388b210,Tajikistan - Historical Health Indicators
a4f5e7f5-3439-40c3-85ae-1e156291d062,Thailand - Historical Health Indicators
cdb029fa-51fb-42c6-ab4a-b401c49c3e98,Togo - Historical Health Indicators
eabc5f9a-733a-47da-bc83-be4ab8bf6f12,Chad - Historical Health Indicators
d343dd64-9a43-4db0-a257-0b84993497ac,Turks and Caicos Islands - Historical Health Indicators
43b3e14c-30cc-4792-a493-9478471c5c2a,Syrian Arab Republic - Historical Health Indicators
f5913fdf-ac7c-430c-8a75-38bb8210f328,Seychelles - Historical Health Indicators
bff76cf0-7ab0-4a92-842d-1096ce3086d2,Sint Maarten (Dutch part) - Historical Health Indicators
52606787-8a5c-4be2-8749-ae51047e6025,Eswatini - Historical Health Indicators
b19470ef-4c3a-4b3a-894e-1934d6be247f,Sweden - Historical Health Indicators
7ab62b30-ad82-4c22-b933-f67fc79c0c99,Slovenia - Historical Health Indicators
b4307bef-bcdc-4d07-afed-7b3957ef8e34,Slovakia - Historical Health Indicators
f3b32483-61e2-43f3-a844-843a1dfd7edf,Suriname - Historical Health Indicators
87c0a89f-e1c4-4ac3-9ff0-a308b045ef08,Sao Tome and Principe - Historical Health Indicators
f1ea7b3b-3865-4561-8d29-bd942d3c4352,South Sudan - Historical Health Indicators
0147edb3-7875-4999-8f20-541b05a030ee,Serbia - Historical Health Indicators
c6b84422-7e80-4988-ab5a-ce759f5d13be,Somalia - Historical Health Indicators
be9e10e5-1ea3-4a8b-87d0-4b7159b0d03c,San Marino - Historical Health Indicators
8f03e633-3611-4561-a3ea-d67dbe6d722d,El Salvador - Historical Health Indicators
91d0a8ad-c010-482d-b2d5-b83f59952f9a,Sierra Leone - Historical Health Indicators
ea5accb1-ace3-4440-99f9-b1bc866d9257,Solomon Islands - Historical Health Indicators
50073115-21f1-40f3-9dde-f3cc8c5f43e8,Singapore - Historical Health Indicators
3b4fda48-ad0b-4b22-8f52-56cc92b6a507,Senegal - Historical Health Indicators
bb29fec4-c174-4465-b2f2-7f4c2f3fec8d,Sudan - Historical Health Indicators
dc662ec7-6310-4bb0-bdb0-7dbefaa1c472,Saudi Arabia - Historical Health Indicators
4b399f3e-924e-4c9a-97c8-84138c84d948,Rwanda - Historical Health Indicators
68666a40-72e7-4e3b-901e-819b08bf4292,Russian Federation - Historical Health Indicators
b9edf053-fd93-40e1-868c-752a21fd0d56,Romania - Historical Health Indicators
ff9d9242-8559-45a1-880d-cfd6a5fe60f8,Qatar - Historical Health Indicators
3bd706e9-7930-4267-a884-10d3e48597fc,French Polynesia - Historical Health Indicators
0ce1b2aa-08fe-426a-ad13-38c0b8397a87,State of Palestine - Historical Health Indicators
fe7d2f53-18a2-4c63-a6a2-6107cb880fff,Paraguay - Historical Health Indicators
706199e2-296e-4174-984c-4bf7c42ce187,Portugal - Historical Health Indicators
cf7ed001-550a-4e14-ac1c-14233dcc2070,Democratic People's Republic of Korea - Historical Health Indicators
3fc76ae9-26b5-479c-8754-7a364b647b8d,Puerto Rico - Historical Health Indicators
b448a30e-cf70-44d1-b551-78925d91dd5b,Poland - Historical Health Indicators
a8d1e388-05e6-4c14-8088-6e223d7fa8a5,Papua New Guinea - Historical Health Indicators
933fb6b8-226e-4f99-a98f-a76972048f06,Palau - Historical Health Indicators
054d09a8-b91b-40bb-8cbb-5c44f06afde1,Philippines - Historical Health Indicators
57844836-99e1-4212-8684-38df14104111,Peru - Historical Health Indicators
cfb92170-40f6-4d4e-9fe0-6f4aedbe38c4,Panama - Historical Health Indicators
608bc5ba-f57a-4e43-b86d-eb7495dabee8,Pakistan - Historical Health Indicators
735a6a78-8046-485a-8a5c-2ad047773064,Oman - Historical Health Indicators
205baeda-1a43-44d7-88a5-ce6ce32b9597,New Zealand - Historical Health Indicators
6d811408-bdfd-488c-a2b3-2cd09d864352,Nauru - Historical Health Indicators
0c72b947-ddfc-4f13-9bfd-061d595fb96b,Nepal - Historical Health Indicators
