WHO - Health Indicators,
World Health Organization,
cdd8d785-44e3-4779-8fea-34129c8490f5,Saint Vincent and the Grenadines - Health Indicators
914e006e-45cc-49a2-bbfa-6aefca7c36d5,United States of America - Health Indicators
3f64b9aa-8045-42c7-9f17-2fb3bd4a7df4,Uruguay - Health Indicators
6b9bd26c-b42e-45cb-9550-ae58c2960126,Ukraine - Health Indicators
52333ec2-1606-4034-ab87-f34da4c192f8,Tuvalu - Health Indicators
ace09fdf-a91c-4d09-bc3a-1bc7f584f379,Tunisia - Health Indicators
63d825b8-c866-40cd-b9da-3be2d26e3212,Trinidad and Tobago - Health Indicators
049b2c78-21c6-4713-9f0a-003a594f913c,Tonga - Health Indicators
bcfc1f5d-466e-4eab-867c-0036ba51c4c4,Seychelles - Health Indicators
7cb67b12-cb8e-41b6-8b8d-8b819ecf7eca,Sweden - Health Indicators
6e31c135-4763-4d9d-92fe-3b4dd728c565,Slovenia - Health Indicators
8074304f-0bf8-4ae3-9aac-204654fef9e2,Slovakia - Health Indicators
f2041fec-982a-4f05-b7c4-0f0fb78fec55,Serbia - Health Indicators
ca5fd65e-670e-4ba8-afc0-34f031856cf2,San Marino - Health Indicators
66d2c1db-d2c9-44c3-b1cc-77edebc453d7,Singapore - Health Indicators
8e91ed03-8d7e-46c2-b583-39852080f3c5,Russian Federation - Health Indicators
5e16b1a7-de6f-4a03-8c49-8479249cbe84,Romania - Health Indicators
d95e5272-5f66-48c7-83de-1a4d451f2a97,Qatar - Health Indicators
261bc6bd-93f7-42d2-99fb-e171e087458d,Portugal - Health Indicators
fc5bc30c-0100-48c5-8062-31941571e2da,Poland - Health Indicators
a895ec2a-70fc-46ec-8409-ea7d3cf5ad5b,Palau - Health Indicators
6718a658-a093-48a2-a85c-0d75423643ea,New Zealand - Health Indicators
f21087f8-3a95-407b-8e76-661bf0deaaaf,Nauru - Health Indicators
34bc2275-f457-4c6d-8d3d-5c82edf36bfa,Norway - Health Indicators
794714e9-46af-43b3-be97-93ab906e5a8a,Netherlands (Kingdom of the) - Health Indicators
353859c1-248a-488a-9fbd-c6746328f144,Niue - Health Indicators
