UNHABIT - Urban indicators,
"United Nations Human Settlements Programmes, Data and Analytics Section",
0539e7d3-5646-446f-8cc5-de0684fe0556,Access to basic services in cities and urban areas
acf1231c-4248-4834-8e1f-e6d6939b0c6e,Urban transport
30e6b4ac-0330-4b26-986f-291878bd32a6,Yemen - Urban transport
1b203703-f8cd-4503-b691-cde9b53f5e35,Venezuela (Bolivarian Republic of) - Urban transport
a7094b67-403d-4359-b7e9-b3901b806530,Ukraine - Urban transport
c4ef7d59-6eea-41db-94a2-00323dc6b638,Chad - Urban transport
fa95811f-afeb-4285-9758-4017dbd40031,Syrian Arab Republic - Urban transport
c5ca54ef-6238-445d-93c7-976316872ed9,South Sudan - Urban transport
3d9ef528-8d80-449f-b0f0-a40679e1312c,Somalia - Urban transport
0b337ff9-0a11-4de2-a437-1db35e11bb54,El Salvador - Urban transport
6b979fce-bf53-4fa5-ae1a-030468840d12,Sudan - Urban transport
743a7ebf-757c-4547-ac7a-fd65c3fb7318,State of Palestine - Urban transport
d334f7e4-30ff-438a-a842-e39b80d165d3,Nigeria - Urban transport
54542cce-757f-4123-8925-b4fbc369fcb0,Niger - Urban transport
adc94b9d-590a-481f-91d4-5692df6c9d37,Mozambique - Urban transport
ed3539c3-049e-491e-aae2-bed33b82a3a3,Myanmar - Urban transport
8c0aa06b-43f2-425e-95ae-8cf0521a7b83,Mali - Urban transport
44c6695a-bc71-434b-80f6-a451a57d307d,Haiti - Urban transport
2182f410-2fc3-4e5a-bced-a819a3610b56,Honduras - Urban transport
52e43378-6fa8-4316-8296-8274ce234c3c,Guatemala - Urban transport
7d76ce94-fde5-4f85-97ea-353f370444bc,Ethiopia - Urban transport
1b8ecb8e-138c-448a-a180-4886db9e5ba9,Colombia - Urban transport
ab1521bc-bae2-4004-a269-f946d115e0c3,Democratic Republic of the Congo - Urban transport
05e15271-8c64-4569-a0a5-4991a64c0b52,Cameroon - Urban transport
82a0b3c1-dc6d-48cf-8b32-5d37a08625fc,Central African Republic - Urban transport
db619de4-07f3-4aa4-834d-710720492484,Burkina Faso - Urban transport
5aa98993-0f51-470a-8cce-7c7e654fbd7e,Afghanistan - Urban transport
96febdd0-00d3-4c18-a156-b43abce92f43,Spatial growth of cities and urban areas
49396abd-0b84-4092-ac1d-f5a46a8b0206,Yemen - Spatial growth of cities and urban areas
1d510066-701e-49f7-8ce4-97a6df7d2137,Venezuela (Bolivarian Republic of) - Spatial growth of cities and urban areas
eeb22a2e-eee3-4a80-af31-9e8dd2795dde,Ukraine - Spatial growth of cities and urban areas
83d7521e-2fe4-4ded-838d-f2039a4e073a,Chad - Spatial growth of cities and urban areas
7f6227b0-6ca8-4a1b-874d-2f63b8e4bf38,Syrian Arab Republic - Spatial growth of cities and urban areas
d4e77257-a026-48d4-9e4c-6656a4de1a12,South Sudan - Spatial growth of cities and urban areas
4eb2db07-36c0-4534-ad74-8d7136e02377,Somalia - Spatial growth of cities and urban areas
45598c29-a7f2-4715-a227-7cdeaa39d6e4,El Salvador - Spatial growth of cities and urban areas
72b80f97-d8b4-4083-b40c-5bb85d724e31,Sudan - Spatial growth of cities and urban areas
8bf782cc-1872-4244-ad58-b45c7d011c60,State of Palestine - Spatial growth of cities and urban areas
9a005534-c262-418a-9f93-9f5c0c4fef08,Nigeria - Spatial growth of cities and urban areas
bfddb190-542e-4f9f-aa65-b18b5f1cc4b6,Niger - Spatial growth of cities and urban areas
6b3e3789-5291-4db2-bd65-70a664b64bd8,Mozambique - Spatial growth of cities and urban areas
ca1fabb3-3889-45b0-aa82-7653e1badaec,Myanmar - Spatial growth of cities and urban areas
9b85adca-a576-4549-84a2-e74a3ed8d092,Mali - Spatial growth of cities and urban areas
2073dcf6-d439-4d07-bf2b-5f483d834836,Haiti - Spatial growth of cities and urban areas
29cd3003-3eba-43d0-b851-a85543e3f98e,Honduras - Spatial growth of cities and urban areas
5887d1c3-30cf-4e19-86d2-201e95e57bf2,Guatemala - Spatial growth of cities and urban areas
455f6e5b-36aa-4078-a841-837202beb0a5,Ethiopia - Spatial growth of cities and urban areas
ce42d2d3-3b39-43a1-864c-56aed6e4d85a,Colombia - Spatial growth of cities and urban areas
6c980d6d-855f-4a28-8bb5-85496611ce09,Democratic Republic of the Congo - Spatial growth of cities and urban areas
672c05a2-6aae-4e41-935b-568243bec373,Cameroon - Spatial growth of cities and urban areas
a263c966-38ce-408e-8552-20835a1927d2,Central African Republic - Spatial growth of cities and urban areas
229d1fec-9b0a-4ab1-9fdf-b9d98398388e,Burkina Faso - Spatial growth of cities and urban areas
fbedffde-d079-43e0-8ff0-a794d235b9a9,Afghanistan - Spatial growth of cities and urban areas
d0a53e4a-5f49-46cb-83d6-51e5974ab8e5,Open spaces and green areas
e7b070ee-299c-49be-8d62-710c7719d997,Yemen - Open spaces and green areas
225850e0-c96c-490a-b09b-6d8a6da9792a,Venezuela (Bolivarian Republic of) - Open spaces and green areas
3fabfe90-3e48-43a9-a147-d274cbb41f7d,Ukraine - Open spaces and green areas
40b8763c-7291-4c2a-b4b8-aee45c493849,Chad - Open spaces and green areas
8824e9d0-9687-422d-8c49-71bdad3c0c86,Syrian Arab Republic - Open spaces and green areas
c3941a39-7cf2-493a-92a1-4ec4a5adbc70,South Sudan - Open spaces and green areas
af62b9c6-a945-4608-8a06-e0db33955f87,Somalia - Open spaces and green areas
94313800-43ec-4c2b-9805-d7710d6e86b2,El Salvador - Open spaces and green areas
b246a442-a54f-4773-94de-6dbff96182d3,Sudan - Open spaces and green areas
e26c6f7c-ea81-4d10-9bf1-a986c99450b4,State of Palestine - Open spaces and green areas
8319f998-a76b-4f00-b0a0-39e972fc58d1,Nigeria - Open spaces and green areas
e5ec12be-9145-4e11-a0cf-dcbdf11b2880,Niger - Open spaces and green areas
6a0af1ea-2824-4ab2-bdcb-b5f533ba2eaa,Mozambique - Open spaces and green areas
47366138-18a9-4238-814b-bba8cf3feb81,Myanmar - Open spaces and green areas
dd4cce3b-8571-4e3f-b3ed-da746cfc7b0b,Mali - Open spaces and green areas
acdea889-c070-4489-bcf7-02237a99540c,Haiti - Open spaces and green areas
62a8ee60-ebdb-40cc-b293-0b9713eb05a2,Honduras - Open spaces and green areas
fb09e3ae-508e-42d4-9c86-c07b7615a158,Guatemala - Open spaces and green areas
cf6231e4-22ab-4e2c-a409-bd76a3dcfb4d,Ethiopia - Open spaces and green areas
d6e4c383-1842-4ed1-9635-819fe451fb17,Colombia - Open spaces and green areas
bd3df0d1-5fce-4e02-ad8c-5245ee8b3b56,Democratic Republic of the Congo - Open spaces and green areas
80b8f46b-694e-4dee-81f0-fe1fde0aab77,Cameroon - Open spaces and green areas
c8a7f019-5b48-43f3-a1be-7ab84b9b60d6,Central African Republic - Open spaces and green areas
690f52a9-7124-4412-bba2-752d26d89b05,Burkina Faso - Open spaces and green areas
aae17793-338d-4a53-b48c-c5f76a9e3dc0,Afghanistan - Open spaces and green areas
977c5121-6343-41e2-bc5d-6b13302fcf02,"Housing, slums and informal settlements"
67975782-1e32-4ecc-b42d-7a2acb8711bc,"Yemen - Housing, slums and informal settlements"
72aa0ac3-9da3-4dde-99f4-16125c2f88a7,"Venezuela (Bolivarian Republic of) - Housing, slums and informal settlements"
7f4bbaf7-a341-4681-9e38-1670ce8d5580,"Ukraine - Housing, slums and informal settlements"
1dfbb558-3b48-4eab-8f13-f546dd5cc090,"Chad - Housing, slums and informal settlements"
1ee57ddd-5ad6-4c90-9826-7e1ea6479ab5,"Syrian Arab Republic - Housing, slums and informal settlements"
c454f5f9-d269-4715-a8ad-f21396800ba9,"South Sudan - Housing, slums and informal settlements"
7069a89b-246b-49dc-b4cb-e4a6d8f2ad8c,"Somalia - Housing, slums and informal settlements"
84b66bb5-b642-43f1-9b23-04a30d5b15f5,"El Salvador - Housing, slums and informal settlements"
776ffdb3-8b2a-453f-b5bc-d9aa24aa21a7,"Sudan - Housing, slums and informal settlements"
75fc8062-5c47-417e-b716-09ae6347f293,"State of Palestine - Housing, slums and informal settlements"
67d23164-035c-4d0b-8a5c-ee9747181a74,"Nigeria - Housing, slums and informal settlements"
c6bdfddc-8382-4cba-bdfc-b98c263735ce,"Niger - Housing, slums and informal settlements"
6899688d-f1ba-42f7-90ee-7ec33f1b5b2d,"Mozambique - Housing, slums and informal settlements"
4e515a69-8a55-4547-a692-ad6789bbf32b,"Myanmar - Housing, slums and informal settlements"
e3ef7e68-6529-41bc-9b2e-f167d96e8ded,"Mali - Housing, slums and informal settlements"
97640070-746c-49dc-924b-ffb0d169cffe,"Haiti - Housing, slums and informal settlements"
1fdc2163-1b04-4464-8c5e-670ad9d77e4b,"Honduras - Housing, slums and informal settlements"
99314a33-e0c4-45bd-8af5-fc5b047ae5c6,"Guatemala - Housing, slums and informal settlements"
2e2ac7a6-754b-49be-8357-46d4c6c10b65,"Ethiopia - Housing, slums and informal settlements"
47fddf6f-4ed5-4f3e-8ec4-acdeba727406,"Colombia - Housing, slums and informal settlements"
f1b412c1-99a2-4929-86c4-9fc7baba198c,"Democratic Republic of the Congo - Housing, slums and informal settlements"
6f85929c-b0e3-43fc-a680-9b1d76b77a06,"Cameroon - Housing, slums and informal settlements"
36115c9a-b6e2-44e8-93e3-1f5dec79f0a5,"Central African Republic - Housing, slums and informal settlements"
55a5b298-4040-4ac5-8e7e-68c17fab3ea4,"Burkina Faso - Housing, slums and informal settlements"
4d79cb5a-0340-4fa4-9861-24148ce3c3bc,"Afghanistan - Housing, slums and informal settlements"
