Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,,,,
Approve,,HDX HAPI - Data by Country,data series,HDX Humanitarian API Data,8,299,0039a481-ced4-48e2-9e41-d046bc1842ee,HDX HAPI Data for Malawi,,,,,,,,
Approve,,IDMC - Internal Displacement Updates,data series,Internal Displacement Monitoring Centre (IDMC),1,290,ca18aa52-f12d-468d-8a8b-2616821fcc49,Uganda - Internal Displacements Updates (IDU) (event data),,,,,,,,
Approve,,IDMC - Internal Displacement Updates,data series,Internal Displacement Monitoring Centre (IDMC),1,290,64ddad48-0b8a-4b2f-b97d-056a010c5da7,Mongolia - Internal Displacements Updates (IDU) (event data),,,,,,,,
Approve,,IDMC - Internal Displacement Updates,data series,Internal Displacement Monitoring Centre (IDMC),1,290,7e2aa982-5439-4fe9-b852-f9943dcb9118|b265afd2-239d-4899-afaf-cbf6a60db84e|45ad3eac-8fc0-458e-89a4-51dc8cde016d,Philippines - Internal Displacements Updates (IDU) (event data),Mexico - Internal Displacements Updates (IDU) (event data),Colombia - Internal Displacements Updates (IDU) (event data),,,,,,
Approve,,Humanitarian Needs Overview,data series,OCHA Humanitarian Programme Cycle Tools (HPC Tools),7,241,0ea5e9cd-4c46-499d-9c31-f53e9315d6db|9a31ab38-1cc0-45a1-9520-dba48299e56d|68b69d4c-a965-405e-8ed2-b7b5c7d64689|be942acf-afc3-4fa6-8387-fabcec33888d|d5a68479-9c34-490e-850a-5329ef056662,Venezuela (Bolivarian Republic of): Humanitarian Needs,El Salvador: Humanitarian Needs,Honduras: Humanitarian Needs,Guatemala: Humanitarian Needs,Burkina Faso:  Humanitarian Needs,,,,
Approve,,UN Peace and Security Data Hub - Peace and Security Data,data series,United Nations Peace and Security Data Hub,1,296,4a911951-0b72-4d15-b221-ba5ff820224b,Peace and Security Pillar: Conduct and Discipline: Sexual Exploitation and Abuse Data,,,,,,,,
Approve,,UNHCR - Multi-Sector Needs Assessment ,data series,UNHCR - The UN Refugee Agency,1,293,b8325566-d729-4d2f-8bc6-03ce3c9415f5|ac6da3d6-0bb0-41ea-982f-b782400f4ebc|d8618043-3104-469e-b26f-d02309dbfdd5|33a40b37-60c9-49ca-910b-3413dfa6b36c|e629a309-2e17-4853-900f-3058fcef2231|93b356ce-8cd8-4e9a-ba5b-2c39b8866912|1a3a3060-8b43-48c0-8cd5-67f55630a8e5|987e159b-2937-4c39-a3d7-f8cac4249633|da151e11-8964-4741-9f69-39f528cec4d3,Republic of Moldova - Socio-Economic Insights Survey (SEIS) - 2024,Lithuania - Socio-Economic Insights Survey (SEIS) - 2024,Latvia - Socio-Economic Insights Survey (SEIS) - 2024,Hungary - Socio-Economic Insights Survey (SEIS) - 2024,Slovakia - Socio-Economic Insights Survey (SEIS) - 2024,Bulgaria - Socio-Economic Insights Survey (SEIS) - 2024,Estonia - Socio-Economic Insights Survey (SEIS) - 2024,Romania - Socio-Economic Insights Survey (SEIS) - 2024,Czechia - Socio-Economic Insights Survey (SEIS) - 2024
Approve,,COD - Subnational Population Statistics,data series,UNFPA|UNFPA|UNFPA|OCHA Latin America and the Caribbean (ROLAC),75,13,46773d0a-b049-4407-8c75-e79821d8d297|06282dc6-97c7-49c0-8634-410f19a4208d|4f40ced2-b095-4489-bd1c-52e785ed6c2f,Palau - Subnational Population Statistics,Tokelau - Subnational Population Statistics,Saudi Arabia - Subnational Population Statistics,,,,,,
Approve,,Data for Children Collaborative - Travel Time to Nearest Health Centre,data series,Data for Children Collaborative,8,300,7d86e8ca-07be-44fa-b82e-1f7107c703da|80ea2956-d146-4cc0-94f9-384c525cd130|3780d7d0-04d2-4bcc-af93-9996d03fd361|8602aea9-825d-42a3-8573-6defd3c863f0|27c5f824-b690-41ca-9b03-9905e47edf67|562cf3e2-7745-4376-8a14-224357446f3c|11cecc72-21b1-450d-b547-6aae0ab5b3b6|946c4b91-e99d-4e49-b2a4-c0e855f66af0|2f6760ec-d7b4-4405-bc9b-c97d59d52dc7,Democratic Republic of the Congo Motorised Travel Time (in seconds) to nearest health centre,Zimbabwe Motorised Travel Time (in seconds) to nearest health centre,Zambia Motorised Travel Time (in seconds) to nearest health centre,United Republic of Tanzania Motorised Travel Time (in seconds) to nearest health centre,South Africa Motorised Travel Time (in seconds) to nearest health centre,Namibia Motorised Travel Time (in seconds) to nearest health centre,Mozambique Motorised Travel Time (in seconds) to nearest health centre,Kenya Motorised Travel Time (in seconds) to nearest health centre,Botswana Motorised Travel Time (in seconds) to nearest health centre
Approve,,COD - Subnational Population Statistics,data series,UNFPA,75,13,46773d0a-b049-4407-8c75-e79821d8d297|06282dc6-97c7-49c0-8634-410f19a4208d,Palau - Subnational Population Statistics,Tokelau - Subnational Population Statistics,,,,,,,
