Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,
Exclude,,UNHCR - High Frequency Survey,data series,UNHCR - The UN Refugee Agency,51,0,ffd82ca4-b653-43b0-83cb-85632fcee7f9,Lebanon - Vulnerability Assessment of Syrian Refugees in Lebanon - 2024,,
Approved,,World Bank - Economic Social Environmental Health Education Development and Energy,data series,World Bank Group|World Bank Group|World Bank Group,211,33,e98954d7-177d-4f24-891a-1fbebf57d584,"Federal Republic of Somalia - Economic, Social, Environmental, Health, Education, Development and Energy",,
Approved,,World Bank - Trade,data series,World Bank Group,216,34,ab2876e3-73b9-46e8-aa2b-fafdf814d992,Federal Republic of Somalia - Trade,,
Approved,,World Bank - Climate Change,data series,World Bank Group,217,36,4cc546c2-3eda-4236-8e35-ae7b1da7a61b,Federal Republic of Somalia - Climate Change,,
Approved,,World Bank - Millenium development goals,data series,World Bank Group,109,37,8ba33021-35fd-44fa-a00b-2f0c3a0063cc,Federal Republic of Somalia - Millenium development goals,,
Approved,,World Bank - Gender,data series,World Bank Group,217,38,fa8decfd-2661-4a97-947c-a29808336f15,Federal Republic of Somalia - Gender,,
Approved,,World Bank - Development,data series,World Bank Group,433,39,3ea4d887-33f5-417f-9780-c1f89a8c0dd3|f4c8c9e6-04aa-4dfa-8f80-a25eb4fd53c6,Federal Republic of Somalia - Urban Development,Federal Republic of Somalia - Social Development,
Approved,,World Bank - Poverty,data series,World Bank Group,181,40,97eedd46-2b75-4429-af16-000fe7abd9ab,Federal Republic of Somalia - Poverty,,
Approved,,World Bank - Social Protection and Labor,data series,World Bank Group,215,41,68fb13b1-9a57-4f13-9aac-b0c6b899f75d,Federal Republic of Somalia - Social Protection and Labor,,
Approved,,World Bank - Infrastructure,data series,World Bank Group,217,42,52b6c95f-c8aa-4ee0-8ebd-6895c46ea2a0,Federal Republic of Somalia - Infrastructure,,
Approved,,World Bank - Health,data series,World Bank Group,217,43,0d039fc5-5ce7-460c-b5fa-c5b55e517adf,Federal Republic of Somalia - Health,,
Approved,,World Bank - Environment,data series,World Bank Group,217,44,3192aa36-d4ff-4b7b-ba84-8acc44da620e,Federal Republic of Somalia - Environment,,
Approved,,World Bank - Energy and Mining,data series,World Bank Group,217,45,4d2cee9d-4a5b-4480-9657-730df66c68b1,Federal Republic of Somalia - Energy and Mining,,
Approved,,World Bank - Education,data series,World Bank Group,214,46,c9ee1fc2-959a-4df5-abb8-4948f1ba8c9f,Federal Republic of Somalia - Education,,
Approved,,World Bank - Aid Effectiveness,data series,World Bank Group,215,47,49ef12df-dcb7-44f5-a1b5-4ab5bf75e310,Federal Republic of Somalia - Aid Effectiveness,,
Approved,,World Bank - Agriculture and Rural Development,data series,World Bank Group,217,48,b6cd3fa8-6531-4d64-8c3a-d93751579b64,Federal Republic of Somalia - Agriculture and Rural Development,,
Exclude,,Copernicus -  Vegetation Index Anomaly,data series,Copernicus,241,334,4efff3a9-6449-4892-8fa4-d76f7374fa51,Copernicus Meteorological Drought Tracking (ERA5),,
Approved,,PSA - Flood Monitoring,data series,The Philippine Space Agency|The Philippine Space Agency,60,327,a606ca25-94b0-4a83-aef1-ff3eeb52a21b|c2ad986c-ab61-4a3f-a5bc-83aada35aa63|df1a1e5a-792a-45af-9c88-21bc3762dbca,"Flooding in the Philippines on September 24, 2025","Flooding in the Philippines on September 23, 2025","Flooding in the Philippines on September 22, 2025"
Exclude,,Excluded datasets from clustering,excluded,IGAD Climate Prediction and Applications Center (ICPAC),0,0,3dddf4c4-25bc-4bb1-8277-b5e842898bfb|52885d29-6abb-464c-baa7-60a7e232321e|0431bf88-480b-4cce-86fa-93f25e6ba3ba,Kenya Livestock_Ownership,KEN_aridity Index,Kenya Night Time light
Approved,,UNHCR - Livelihoods Programme Monitoring Beneficiary Survey,data series,UNHCR - The UN Refugee Agency,,5,665907cd-ec76-4099-8e0b-b6b6b3fc4282|d1d33885-f771-4554-9018-d2f29793c151|9719fd4c-061d-4858-beb6-a326a3870dff|127f2be6-2e91-4162-8fa2-8ebdc769f55e|04caaf65-48d3-4b83-9981-62a58343d510|1a0a53ad-2ec3-4048-a760-0f2b4e80e76b|8a88056f-1bf8-4d5b-a420-b7dba4e54dac|8281531f-96fd-4d44-8ce1-e61fa8503678|cb45234d-5b55-4252-833d-90629dde0f94|e2ba96e8-e6af-473e-b35e-08aa810970b7|76eb6038-a208-424a-acc2-114e6383f67b|e9489d5e-43ca-4d02-a554-4f795e85d802|85313353-c873-4815-8394-dc3322c21d4e|588dd6ef-39cf-4acc-8dcb-3c71b7ec7ff7|f3a16e0e-a06e-4cbf-8a52-c6c8920914fd|3b26182b-2ee3-4cc3-8f52-2bc4e5a43c15|1a057919-5da8-434b-894b-0b26f4401948|a3b22e88-3eb5-41f8-b214-bd7fe43118be|07058618-9949-43fe-bffa-f6875c3907ec|964a13cf-070e-4117-bc96-c1653dde2bff|fbd52978-841f-4340-b1b2-f2719a94430a,,,
Approved,,UNHCR - SENS Survey,data series,UNHCR - The UN Refugee Agency,,84,2f89e761-e86f-4b57-b350-24cd5781729d|6bd838db-4e9a-42f4-a939-81324590dfe9|bb0e2dda-3b64-43a4-a5df-e27237ec8da1|7e9d1ac6-c763-4cf6-8708-8739353dd568|7b1fc2f4-5356-436b-b100-ed6d2d6d65e5,,,
